
Identifiant du sinistre,Entreprise,Date du sinistre,Montant du sinistre,Type de sinistre,Secteur d’activité de l’entreprise,Taux de couverture,Franchise appliquée,État de la réclamation,Historique des sinistres passés,Durée de traitement,Coût estimé du sinistre à la fin de la période de règlement,Risque associé au sinistre
S01012,Compagnie d’assurances et de réassurances ASTREE,2020-11-23,65010.14,Dégâts des eaux,finance,0.85,1297.81,réglé,3,56,74748.86,moyen
S01013,BNA Assurances,2020-01-28,27726.36,Dommage matériel,finance,0.81,606.61,rejeté,0,31,0.0,faible
S01014,Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),2023-09-09,1597553.48,Interruption d'activité,industrie,0.63,55880.17,réglé,4,53,1827231.37,élevé
S01015,ESSOUKNA,2018-08-18,275706.43,Catastrophe naturelle,construction,0.61,10106.71,réglé,1,91,288709.11,élevé
S01016,Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),2024-05-15,27435.6,Autre,industrie,0.63,1083.9,réglé,5,76,27646.88,élevé
S01017,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2019-04-13,1088419.23,Interruption d'activité,industrie,0.65,47176.12,réglé,2,69,1132541.56,élevé
S01018,BNA Assurances,2024-09-20,59432.17,Vol,finance,0.8,1069.15,en cours,4,127,63522.51,moyen
S01019,ESSOUKNA,2024-04-18,27744.0,Vol,construction,0.7,1131.28,réglé,1,54,27994.37,élevé
S01020,DELICE HOLDING,2019-03-26,186610.32,Dégâts des eaux,industrie,0.64,6136.85,réglé,4,59,211463.08,élevé
S01021,LES CIMENTS DE BIZERTE,2022-10-14,48986.87,Dommage matériel,industrie,0.7,2337.72,réglé,5,63,52075.54,élevé
S01022,SMART TUNISIE.SA,2023-07-10,158340.41,Dommage matériel,technologie,0.78,5307.99,en cours,3,93,167331.4,moyen
S01023,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2021-05-19,121202.15,Responsabilité civile,transport,0.69,4150.2,réglé,1,67,128156.98,élevé
S01024,ALKIMIA,2022-08-12,96600.86,Dégâts des eaux,energie,0.6,4402.72,en cours,6,121,103774.44,élevé
S01025,Compagnie d’assurances et de réassurances ASTREE,2018-06-03,49663.34,Autre,finance,0.83,887.26,réglé,1,62,55633.78,faible
S01026,CELLCOM,2022-01-13,21597.46,Autre,technologie,0.76,724.0,réglé,0,68,23449.67,moyen
S01027,Best Lease,2018-02-26,1145817.12,Interruption d'activité,finance,0.86,18888.44,réglé,0,66,1239276.58,élevé
S01028,DELICE HOLDING,2020-08-27,947451.96,Incendie,industrie,0.7,31805.91,rejeté,1,28,0.0,élevé
S01029,TUNISIE LEASING & FACTORING,2019-03-31,89122.21,Dégâts des eaux,finance,0.87,2015.23,réglé,1,78,98849.98,moyen
S01030,Société de Placement et de Développement Industriel et Touristique,2022-11-15,35404.0,Dégâts des eaux,finance,0.83,806.0,réglé,0,77,38066.66,faible
S01031,BH LEASING,2019-05-05,137088.88,Dommage matériel,finance,0.83,2397.0,rejeté,1,40,0.0,moyen
S01032,Amen Bank,2020-06-22,106839.35,Responsabilité civile,finance,0.85,1900.59,réglé,0,54,116445.93,moyen
S01033,SMART TUNISIE.SA,2024-02-29,82757.34,Autre,technologie,0.76,2611.8,en cours,5,127,89182.48,moyen
S01034,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2022-02-20,44491.68,Autre,industrie,0.68,1865.02,réglé,2,81,46959.25,élevé
S01035,Carthage Cement,2018-11-19,29159.96,Vol,industrie,0.67,1119.76,réglé,0,38,31627.91,élevé
S01036,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2020-03-11,52067.87,Autre,technologie,0.72,1829.53,réglé,1,66,54776.59,moyen
S01037,الجملة لأسواق التونسيـــّـــــة,2024-04-10,86264.08,Dégâts des eaux,commerce,0.73,2429.54,réglé,2,61,87525.74,moyen
S01038,AIR LIQUIDE TUNISIE,2018-12-21,19880.35,Responsabilité civile,industrie,0.61,689.69,réglé,4,52,20882.66,élevé
S01039,Best Lease,2024-09-01,50618.25,Dégâts des eaux,finance,0.84,1167.5,réglé,0,44,51224.93,moyen
S01040,AIR LIQUIDE TUNISIE,2024-04-05,51002.38,Dégâts des eaux,industrie,0.66,1950.5,réglé,2,70,55740.96,élevé
S01041,BH BANK,2022-10-04,3227079.87,Interruption d'activité,finance,0.88,59553.12,réglé,0,39,3697837.73,élevé
S01042,Société Moderne de Céramique -SOMOCER-,2021-10-30,1236797.41,Incendie,industrie,0.69,58671.24,réglé,4,65,1281214.55,élevé
S01043,DELICE HOLDING,2020-09-17,64864.27,Autre,industrie,0.67,2106.78,en cours,2,57,68609.56,élevé
S01044,Les Industries Chimiques du Fluor,2024-02-09,60713.7,Dégâts des eaux,industrie,0.64,2492.09,réglé,5,42,66901.1,élevé
S01045,SOCIETE D’ARTICLES HYGIENIQUES « SAH »,2018-01-09,338318.66,Catastrophe naturelle,industrie,0.6,15667.63,en cours,1,148,351802.91,élevé
S01046,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2021-06-21,2722109.72,Incendie,industrie,0.61,97154.39,rejeté,4,40,0.0,élevé
S01047,Les Industries Chimiques du Fluor,2019-10-30,31917.59,Dommage matériel,industrie,0.65,1345.13,réglé,2,49,34543.34,élevé
S01048,SOCIETE TUNISIENNE DE BANQUE,2019-01-27,55184.61,Catastrophe naturelle,finance,0.82,966.36,en cours,1,115,59273.35,moyen
S01049,Amen Bank,2019-03-06,34076.89,Dégâts des eaux,finance,0.86,629.14,réglé,1,65,38251.89,faible
S01050,Carthage Cement,2022-08-25,135249.18,Responsabilité civile,industrie,0.66,4982.09,réglé,3,55,149988.61,élevé
S01051,Société Tunisienne d’Email -SOTEMAIL-,2024-05-12,42170.83,Vol,industrie,0.64,1950.51,réglé,4,74,45037.19,élevé
S01052,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2018-12-21,61116.71,Dégâts des eaux,finance,0.82,1386.4,réglé,2,53,66965.76,moyen
S01053,Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),2023-06-09,27675.81,Autre,industrie,0.65,1117.61,réglé,1,78,28083.53,élevé
S01054,Attijari bank,2023-02-10,32519.57,Autre,finance,0.88,564.31,rejeté,0,33,0.0,faible
S01055,Attijari bank,2022-04-23,10269.93,Vol,finance,0.89,182.11,réglé,0,67,10748.08,faible
S01056,Société de Placement et de Développement Industriel et Touristique,2021-04-18,62969.86,Autre,finance,0.87,1040.11,rejeté,0,32,0.0,moyen
S01057,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2020-03-03,69237.6,Dommage matériel,industrie,0.64,3253.9,réglé,0,69,78139.93,élevé
S01058,Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),2022-02-08,108959.2,Dommage matériel,industrie,0.62,4543.62,en cours,2,118,120518.48,élevé
S01059,CITY CARS,2024-05-09,30296.2,Autre,transport,0.65,1190.1,réglé,3,72,32696.13,élevé
S01060,DELICE HOLDING,2023-04-10,92710.14,Dommage matériel,industrie,0.65,3717.57,rejeté,4,45,0.0,élevé
S01061,DELICE HOLDING,2022-05-22,101260.43,Autre,industrie,0.67,3797.33,réglé,4,71,111147.56,élevé
S01062,Attijari bank,2022-08-06,39618.42,Autre,finance,0.8,848.27,réglé,0,30,40735.59,faible
S01063,MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,2023-03-24,18518.96,Autre,industrie,0.64,831.92,réglé,4,50,19244.63,élevé
S01064,ESSOUKNA,2023-06-02,106087.14,Autre,construction,0.62,4971.87,en cours,2,68,115188.99,élevé
S01065,Société de Placement et de Développement Industriel et Touristique,2021-07-10,114724.15,Dommage matériel,finance,0.82,2271.34,rejeté,1,31,0.0,moyen
S01066,DELICE HOLDING,2019-07-30,232224.51,Catastrophe naturelle,industrie,0.6,7837.45,réglé,1,34,264970.02,élevé
S01067,UNION BANCAIRE POUR LE COMMERCE ET L’INDUSTRIE -UBCI-,2023-02-20,1328335.7,Incendie,finance,0.87,29438.08,en cours,1,69,1411976.98,élevé
S01068,SOCIETE TUNISIENNE DE BANQUE,2023-04-01,94393.86,Dommage matériel,finance,0.88,1878.46,réglé,1,14,107915.19,moyen
S01069,WIFAK INTERNATIONAL BANK,2019-05-09,65791.3,Bris de machine,finance,0.83,1253.19,réglé,0,67,68672.0,moyen
S01070,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2023-05-06,41549.41,Autre,technologie,0.77,1427.0,en cours,1,103,43157.44,moyen
S01071,Société de Placement et de Développement Industriel et Touristique,2020-02-02,857051.78,Incendie,finance,0.86,15713.18,réglé,0,45,867635.17,moyen
S01072,AIR LIQUIDE TUNISIE,2022-04-04,111505.34,Responsabilité civile,industrie,0.7,4147.5,réglé,8,68,124434.82,élevé
S01073,NEW BODY LINE,2020-01-23,111942.34,Dégâts des eaux,commerce,0.71,2783.19,en cours,0,139,122263.64,moyen
S01074,Société de Placement et de Développement Industriel et Touristique,2022-01-16,122912.81,Dommage matériel,finance,0.9,2666.75,réglé,0,27,141321.08,moyen
S01075,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2022-04-21,104610.17,Responsabilité civile,finance,0.9,1734.26,réglé,0,83,118938.73,moyen
S01076,COMPAGNIE INTERNATIONALE DE LEASING - CIL-,2022-03-16,188006.37,Catastrophe naturelle,finance,0.89,3507.12,réglé,1,56,211871.38,moyen
S01077,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2018-07-02,1559713.67,Incendie,finance,0.83,25942.53,réglé,0,72,1656751.89,élevé
S01078,BH BANK,2023-01-18,2533166.32,Interruption d'activité,finance,0.88,51241.2,réglé,2,46,2833301.11,élevé
S01079,Automobiles Réseau Tunisien et Services ARTES,2020-06-22,120332.33,Responsabilité civile,commerce,0.7,3916.1,réglé,2,79,138198.33,moyen
S01080,ESSOUKNA,2024-08-06,64723.09,Dégâts des eaux,construction,0.66,2772.58,rejeté,5,22,0.0,élevé
S01081,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2018-08-05,87566.91,Autre,finance,0.86,2084.11,réglé,2,44,90579.49,moyen
S01082,WIFAK INTERNATIONAL BANK,2023-12-19,68550.73,Dommage matériel,finance,0.84,1501.4,réglé,0,77,78252.44,moyen
S01083,SMART TUNISIE.SA,2022-06-02,185138.86,Dommage matériel,technologie,0.73,5431.57,en cours,4,158,211261.38,moyen
S01084,CELLCOM,2023-06-10,1552046.46,Interruption d'activité,technologie,0.79,40388.86,réglé,2,78,1639273.85,élevé
S01085,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2023-04-26,242169.44,Dommage matériel,industrie,0.6,8732.35,réglé,4,28,252063.42,élevé
S01086,SOCIETE TUNISIENNE DE BANQUE,2021-05-14,137368.72,Dommage matériel,finance,0.86,2320.19,réglé,1,52,150332.65,moyen
S01087,SOCIETE TUNISIENNE DE BANQUE,2021-09-03,1910284.67,Interruption d'activité,finance,0.84,39218.02,réglé,0,79,2166583.56,élevé
S01088,ESSOUKNA,2021-09-03,21400.9,Autre,construction,0.6,824.96,en cours,2,163,23809.1,élevé
S01089,NEW BODY LINE,2020-10-01,18523.98,Vol,commerce,0.73,615.38,réglé,1,59,18934.67,moyen
S01090,UNION INTERNATIONALE DE BANQUES - UIB,2024-07-19,195602.82,Dommage matériel,finance,0.89,3339.25,réglé,1,58,224872.0,moyen
S01091,Société de Placement et de Développement Industriel et Touristique,2020-02-29,114405.28,Bris de machine,finance,0.89,2178.41,réglé,0,51,124103.78,moyen
S01092,BANQUE NATIONALE AGRICOLE –BNA BANK-,2020-01-28,53372.71,Autre,finance,0.85,1046.77,rejeté,0,18,0.0,moyen
S01093,CELLCOM,2022-02-05,44359.9,Bris de machine,technologie,0.73,1595.36,réglé,2,39,44534.15,moyen
S01094,UNION BANCAIRE POUR LE COMMERCE ET L’INDUSTRIE -UBCI-,2021-06-16,56802.56,Dommage matériel,finance,0.86,1302.19,réglé,1,68,60076.45,moyen
S01095,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2019-02-18,264862.04,Catastrophe naturelle,finance,0.84,6266.62,réglé,1,65,266398.62,moyen
S01096,BH LEASING,2019-02-09,293667.13,Catastrophe naturelle,finance,0.89,4984.88,réglé,3,54,329674.94,moyen
S01097,PLACEMENTS DE TUNISIE SICAF,2018-02-06,166386.19,Catastrophe naturelle,finance,0.85,2928.66,réglé,1,51,166860.72,moyen
S01098,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2021-08-11,76316.89,Autre,finance,0.88,1455.8,réglé,2,31,84914.73,moyen
S01099,TUNINVEST SICAR,2024-02-22,28499.1,Vol,finance,0.89,589.64,en cours,0,86,28858.65,faible
S01100,NEW BODY LINE,2018-10-04,376616.27,Incendie,commerce,0.8,12897.43,en cours,4,128,415049.86,moyen
S01101,Automobiles Réseau Tunisien et Services ARTES,2022-06-21,2464022.79,Interruption d'activité,commerce,0.76,74230.09,réglé,1,47,2693990.23,élevé
S01102,ENNAKL AUTOMOBILES,2023-05-24,169806.05,Dommage matériel,transport,0.63,6021.59,en cours,4,138,182155.68,élevé
S01103,UNION BANCAIRE POUR LE COMMERCE ET L’INDUSTRIE -UBCI-,2018-07-05,77992.61,Dégâts des eaux,finance,0.86,1403.69,réglé,2,62,86906.92,moyen
S01104,TUNINVEST SICAR,2020-03-03,1242906.6,Interruption d'activité,finance,0.87,23274.72,rejeté,0,28,0.0,élevé
S01105,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2019-12-23,37651.57,Autre,finance,0.8,825.86,réglé,1,52,43220.93,faible
S01106,OFFICE PLAST S.A,2022-05-25,96330.61,Dommage matériel,industrie,0.68,3246.72,en cours,4,79,98157.51,élevé
S01107,ENNAKL AUTOMOBILES,2023-09-22,26734.3,Autre,transport,0.69,1069.7,réglé,1,35,27508.73,élevé
S01108,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2024-05-26,43111.07,Autre,technologie,0.8,1319.51,réglé,2,54,44662.91,moyen
S01109,Amen Bank,2018-10-31,134809.68,Responsabilité civile,finance,0.81,2870.08,réglé,3,54,145302.78,moyen
S01110,BH BANK,2018-11-17,127903.36,Bris de machine,finance,0.83,2319.19,rejeté,2,32,0.0,moyen
S01111,Société Nouvelle Maison de la Ville de Tunis « MONOPRIX »,2024-06-11,122048.74,Dommage matériel,commerce,0.75,4204.47,rejeté,2,16,0.0,moyen
S01112,DELICE HOLDING,2019-01-27,60797.13,Dommage matériel,industrie,0.69,2675.29,réglé,4,67,63281.94,élevé
S01113,BNA Assurances,2020-12-24,75609.02,Dommage matériel,finance,0.88,1433.75,réglé,1,70,84015.72,moyen
S01114,Société Nouvelle Maison de la Ville de Tunis « MONOPRIX »,2018-10-18,168181.66,Dommage matériel,commerce,0.71,5474.98,en cours,2,149,170247.9,moyen
S01115,SOCIETE TUNISIENNE DE BANQUE,2019-10-03,176238.65,Dégâts des eaux,finance,0.81,3236.23,réglé,1,52,180624.76,moyen
S01116,Société Moderne de Céramique -SOMOCER-,2023-05-06,80975.63,Bris de machine,industrie,0.69,3718.49,réglé,4,58,84022.69,élevé
S01117,BH ASSURANCE,2020-10-15,54008.38,Bris de machine,finance,0.89,1001.79,en cours,1,123,59811.43,moyen
S01118,ESSOUKNA,2024-12-18,41466.13,Autre,construction,0.68,1854.69,réglé,7,51,44198.38,élevé
S01119,MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,2024-05-13,35911.74,Vol,industrie,0.6,1477.16,réglé,3,27,38165.77,élevé
S01120,Automobiles Réseau Tunisien et Services ARTES,2022-04-14,34808.54,Vol,commerce,0.79,1185.62,réglé,1,78,35673.57,moyen
S01121,BNA Assurances,2018-08-29,117815.05,Dégâts des eaux,finance,0.85,2739.79,rejeté,1,32,0.0,moyen
S01122,Compagnie d’assurances et de réassurances ASTREE,2022-04-14,52579.9,Dommage matériel,finance,0.89,1181.69,réglé,1,46,55266.52,moyen
S01123,AIR LIQUIDE TUNISIE,2021-11-17,123456.43,Dommage matériel,industrie,0.65,4695.58,réglé,3,43,123767.48,élevé
S01124,BH ASSURANCE,2024-08-26,158262.39,Responsabilité civile,finance,0.83,3041.04,en cours,2,89,174045.79,moyen
S01125,ENNAKL AUTOMOBILES,2024-10-04,156860.39,Catastrophe naturelle,transport,0.68,7349.18,en cours,2,90,180165.02,élevé
S01126,Société Tunisienne d’Email -SOTEMAIL-,2022-12-07,119013.74,Dommage matériel,industrie,0.66,3964.81,réglé,2,50,119563.84,élevé
S01127,TUNINVEST SICAR,2020-08-25,90440.16,Dommage matériel,finance,0.82,1756.18,réglé,4,62,93370.14,moyen
S01128,ENNAKL AUTOMOBILES,2024-02-19,206757.55,Dommage matériel,transport,0.65,9100.75,réglé,3,47,226661.98,élevé
S01129,BNA Assurances,2022-05-05,120038.5,Dommage matériel,finance,0.86,2032.3,réglé,1,71,130568.93,moyen
S01130,TUNINVEST SICAR,2023-07-13,38644.5,Dommage matériel,finance,0.88,918.9,rejeté,1,21,0.0,faible
S01131,BH BANK,2023-01-06,41638.63,Dommage matériel,finance,0.89,724.36,réglé,1,98,41874.44,faible
S01132,Amen Bank,2024-04-28,135009.17,Dégâts des eaux,finance,0.81,2320.45,réglé,0,23,143834.28,moyen
S01133,ESSOUKNA,2021-08-10,718611.35,Incendie,construction,0.66,29506.26,réglé,6,32,764772.56,élevé
S01134,Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL,2024-03-28,55507.5,Autre,energie,0.66,2300.67,rejeté,1,38,0.0,élevé
S01135,L’Accumulateur Tunisien ASSAD,2018-01-23,28376.61,Autre,industrie,0.66,1301.97,réglé,1,54,28544.94,élevé
S01136,BNA Assurances,2020-07-26,1141632.97,Incendie,finance,0.86,21535.32,rejeté,1,41,0.0,élevé
S01137,NEW BODY LINE,2024-07-16,255727.13,Dommage matériel,commerce,0.71,7649.92,réglé,2,48,286954.74,moyen
S01138,ALKIMIA,2020-01-30,119998.27,Dommage matériel,energie,0.64,4826.3,réglé,1,36,121910.56,élevé
S01139,Euro Cycles,2022-01-27,64706.04,Autre,industrie,0.64,3043.31,réglé,4,64,72704.08,élevé
S01140,TUNINVEST SICAR,2018-12-25,570176.27,Catastrophe naturelle,finance,0.88,12738.69,réglé,2,49,581890.38,moyen
S01141,Amen Bank,2023-03-15,52045.92,Dégâts des eaux,finance,0.84,965.85,rejeté,0,36,0.0,moyen
S01142,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2023-07-21,82187.88,Autre,industrie,0.69,3806.79,réglé,4,49,89271.0,élevé
S01143,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2023-02-23,108264.92,Autre,industrie,0.7,4764.58,réglé,0,61,114897.25,élevé
S01144,ATTIJARI LEASING,2022-01-31,179798.01,Catastrophe naturelle,finance,0.82,3291.68,réglé,1,53,198549.89,moyen
S01145,Unimed,2023-03-10,37329.31,Autre,sante,0.78,1174.38,rejeté,1,45,0.0,moyen
S01146,MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,2021-12-22,261491.68,Catastrophe naturelle,industrie,0.61,9927.9,réglé,2,72,279378.36,élevé
S01147,LES CIMENTS DE BIZERTE,2018-10-05,302613.45,Catastrophe naturelle,industrie,0.65,13911.32,réglé,2,40,323426.33,élevé
S01148,Amen Bank,2021-02-01,74378.98,Autre,finance,0.82,1710.71,réglé,1,50,83392.03,moyen
S01149,Automobiles Réseau Tunisien et Services ARTES,2023-09-17,21478.42,Vol,commerce,0.78,747.49,réglé,0,71,23236.09,moyen
S01150,SOCIETE TUNISIENNE DE BANQUE,2024-03-06,85903.14,Bris de machine,finance,0.81,1748.92,réglé,0,61,95234.94,moyen
S01151,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2021-08-07,52753.28,Autre,industrie,0.67,1901.66,réglé,2,35,59132.81,élevé
S01152,LES CIMENTS DE BIZERTE,2018-08-16,62358.49,Dégâts des eaux,industrie,0.69,2699.24,réglé,3,59,62534.56,élevé
S01153,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2022-09-23,75256.49,Dommage matériel,technologie,0.74,2432.73,réglé,1,53,85598.1,moyen
S01154,LES CIMENTS DE BIZERTE,2024-05-22,811350.73,Catastrophe naturelle,industrie,0.65,31115.8,rejeté,3,30,0.0,élevé
S01155,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2024-03-28,54599.48,Dégâts des eaux,technologie,0.72,1715.0,en cours,0,160,60462.68,moyen
S01156,Amen Bank,2023-06-07,74648.84,Dommage matériel,finance,0.81,1625.08,en cours,2,93,75149.35,moyen
S01157,Automobiles Réseau Tunisien et Services ARTES,2023-04-02,178113.08,Responsabilité civile,commerce,0.74,5727.33,rejeté,0,34,0.0,moyen
S01158,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2021-10-31,26552.96,Dommage matériel,technologie,0.71,773.89,réglé,3,61,29323.29,moyen
S01159,OFFICE PLAST S.A,2022-09-28,34970.31,Autre,industrie,0.6,1448.46,réglé,6,40,35577.73,élevé
S01160,LES CIMENTS DE BIZERTE,2022-05-18,61224.11,Dommage matériel,industrie,0.62,2407.53,réglé,3,57,67223.53,élevé
S01161,NEW BODY LINE,2021-07-02,42669.33,Autre,commerce,0.78,1410.09,réglé,3,76,48701.61,moyen
S01162,SOCIETE TUNISIENNE DE BANQUE,2019-01-24,159400.79,Dommage matériel,finance,0.82,3011.5,réglé,0,72,172624.34,moyen
S01163,Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,2022-09-02,322967.06,Catastrophe naturelle,industrie,0.66,11062.75,réglé,0,66,350081.12,élevé
S01164,ESSOUKNA,2023-11-29,1031116.5,Incendie,construction,0.6,34390.31,réglé,4,58,1106994.2,élevé
S01165,SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES,2021-03-03,33468.26,Dégâts des eaux,industrie,0.68,1296.59,réglé,1,50,37264.93,élevé
S01166,ASSURANCES MAGHREBIA VIE S.A,2023-09-24,73046.51,Dégâts des eaux,finance,0.83,1576.92,rejeté,2,39,0.0,moyen
S01167,Carthage Cement,2024-06-21,95600.75,Responsabilité civile,industrie,0.65,4231.19,réglé,0,63,95699.48,élevé
S01168,OFFICE PLAST S.A,2019-12-18,203967.69,Catastrophe naturelle,industrie,0.7,6983.56,en cours,1,98,212968.94,élevé
S01169,Société Nouvelle Maison de la Ville de Tunis « MONOPRIX »,2020-02-10,833419.85,Incendie,commerce,0.74,24332.1,réglé,1,69,839104.91,moyen
S01170,DELICE HOLDING,2023-03-18,4231195.19,Interruption d'activité,industrie,0.61,156308.88,en cours,1,82,4835142.87,élevé
S01171,TUNINVEST SICAR,2018-04-26,173983.27,Dommage matériel,finance,0.84,3579.48,réglé,0,43,191903.57,moyen
S01172,PLACEMENTS DE TUNISIE SICAF,2020-04-04,47347.91,Autre,finance,0.86,1019.52,réglé,2,46,52319.23,faible
S01173,LES CIMENTS DE BIZERTE,2019-12-19,155027.19,Responsabilité civile,industrie,0.64,7094.23,en cours,2,66,174880.58,élevé
S01174,NEW BODY LINE,2022-12-18,33341.39,Autre,commerce,0.75,940.63,réglé,2,33,38306.42,moyen
S01175,Attijari bank,2022-03-12,168361.76,Catastrophe naturelle,finance,0.89,3844.22,réglé,0,87,176331.28,moyen
S01176,WIFAK INTERNATIONAL BANK,2018-02-09,1347641.14,Incendie,finance,0.88,24145.21,réglé,1,65,1522408.02,élevé
S01177,Société de Placement et de Développement Industriel et Touristique,2019-10-05,706196.11,Incendie,finance,0.87,14788.75,rejeté,1,18,0.0,moyen
S01178,NEW BODY LINE,2019-12-29,323462.92,Catastrophe naturelle,commerce,0.71,10826.7,réglé,1,48,323595.16,moyen
S01179,ENNAKL AUTOMOBILES,2024-04-14,121525.82,Bris de machine,transport,0.62,4025.68,réglé,6,39,128940.53,élevé
S01180,BANQUE NATIONALE AGRICOLE –BNA BANK-,2019-09-10,197887.36,Dommage matériel,finance,0.89,4725.1,réglé,1,61,200893.17,moyen
S01181,Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),2024-12-06,16027.0,Vol,industrie,0.7,518.96,réglé,0,46,18046.91,élevé
S01182,ASSURANCES MAGHREBIA S.A,2020-07-29,95574.98,Bris de machine,finance,0.83,1555.44,en cours,2,134,106133.38,moyen
S01183,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2024-04-30,641977.86,Catastrophe naturelle,transport,0.67,28585.55,réglé,5,60,719918.05,élevé
S01184,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2024-11-12,81001.71,Dommage matériel,transport,0.7,3444.3,en cours,7,86,90662.4,élevé
S01185,BANQUE INTERNATIONALE ARABE DE TUNISIE,2019-05-10,125230.32,Dommage matériel,finance,0.82,2457.89,en cours,1,143,128593.05,moyen
S01186,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2019-08-24,210569.81,Catastrophe naturelle,finance,0.83,3388.2,rejeté,3,12,0.0,moyen
S01187,PLACEMENTS DE TUNISIE SICAF,2023-12-01,93603.78,Dégâts des eaux,finance,0.82,2177.67,réglé,2,49,106620.98,moyen
S01188,ENNAKL AUTOMOBILES,2022-12-11,12010.33,Vol,transport,0.61,414.94,rejeté,5,34,0.0,élevé
S01189,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2021-08-27,71833.04,Dommage matériel,finance,0.89,1494.92,rejeté,1,15,0.0,moyen
S01190,Société Moderne de Céramique -SOMOCER-,2023-12-07,48414.65,Autre,industrie,0.62,1982.32,réglé,4,50,53410.08,élevé
S01191,COMPAGNIE INTERNATIONALE DE LEASING - CIL-,2022-02-23,9845.39,Vol,finance,0.89,203.54,réglé,1,28,10342.78,faible
S01192,BH ASSURANCE,2021-10-04,125421.11,Dommage matériel,finance,0.81,2932.97,réglé,1,50,141526.59,moyen
