company_name,status,net_result,revenue,margin,processed_at
OFFICE PLAST S.A,loss,,25346739.0,,2025-12-21T01:05:34.82302+00:00
SOCIETE D’ARTICLES HYGIENIQUES « SAH »,win,,341800000.0,,2025-12-21T01:05:41.289778+00:00
Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,win,,35395687.0,,2025-12-21T01:05:47.303284+00:00
Société Moderne de Céramique -SOMOCER-,win,,14150000.0,,2025-12-21T01:05:53.458849+00:00
Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,win,,47988498.0,,2025-12-21T01:05:59.568634+00:00
Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL,win,,15516951.0,,2025-12-21T01:06:05.653233+00:00
SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,win,,81885000.0,,2025-12-21T01:06:12.007967+00:00
"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",win,,331129000.0,,2025-12-21T01:06:18.042094+00:00
SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES,loss,,28483000.0,,2025-12-21T01:06:24.495718+00:00
TUNINVEST SICAR,loss,,2573914.0,,2025-12-21T01:06:30.646511+00:00
TUNISIE LEASING & FACTORING,win,,141225.0,,2025-12-21T01:06:37.081649+00:00
UNION BANCAIRE POUR LE COMMERCE ET L’INDUSTRIE -UBCI-,win,,423504000.0,,2025-12-21T01:06:43.586829+00:00
Unimed,win,,115032267.0,,2025-12-21T01:06:49.778112+00:00
BH ASSURANCE,win,,154200000.0,,2025-12-21T01:04:33.648095+00:00
BH LEASING,win,,125387000.0,,2025-12-21T01:04:40.008337+00:00
BANQUE NATIONALE AGRICOLE –BNA BANK-,win,,1852000.0,,2025-12-21T01:04:46.374614+00:00
Carthage Cement,loss,,286380000.0,,2025-12-21T01:04:52.457289+00:00
COMPAGNIE INTERNATIONALE DE LEASING - CIL-,win,,306453000.0,,2025-12-21T01:04:58.591009+00:00
CITY CARS,win,,271421408.0,,2025-12-21T01:05:04.628813+00:00
ENNAKL AUTOMOBILES,win,,452365000.0,,2025-12-21T01:05:10.615383+00:00
Euro Cycles,loss,,83300000.0,,2025-12-21T01:05:16.547522+00:00
Les Industries Chimiques du Fluor,win,,140157944.0,,2025-12-21T01:05:22.529015+00:00
MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,win,,73623681.0,,2025-12-21T01:05:28.646925+00:00
AIR LIQUIDE TUNISIE,loss,,9409502.0,,2025-12-21T01:03:59.162909+00:00
Amen Bank,win,,299240000.0,,2025-12-21T01:04:05.159033+00:00
L’Accumulateur Tunisien ASSAD,win,,80150000.0,,2025-12-21T01:04:11.126549+00:00
ASSURANCES MAGHREBIA VIE S.A,win,,95235000.0,,2025-12-21T01:04:17.53088+00:00
Attijari bank,win,,878500000.0,,2025-12-21T01:04:24.082233+00:00
Best Lease,win,,52435.0,,2025-12-21T01:04:30.587056+00:00
BH BANK,win,,1093568000.0,,2025-12-21T01:04:36.757357+00:00
BANQUE INTERNATIONALE ARABE DE TUNISIE,win,,1892068554.437,,2025-12-21T01:04:43.127966+00:00
BNA Assurances,win,,136000000.0,,2025-12-21T01:04:49.42301+00:00
CELLCOM,loss,,15400000.0,10.83,2025-12-21T01:04:55.467583+00:00
LES CIMENTS DE BIZERTE,loss,,10854212.0,,2025-12-21T01:05:01.660172+00:00
DELICE HOLDING,win,,1140724000.0,,2025-12-21T01:05:07.547438+00:00
ESSOUKNA,win,,17076733.0,,2025-12-21T01:05:13.647385+00:00
HANNIBAL LEASE SA,win,,,,2025-12-21T01:05:19.564966+00:00
Société Nouvelle Maison de la Ville de Tunis « MONOPRIX »,win,,239126000.0,,2025-12-21T01:05:25.514519+00:00
